name,discarded_total
Corn (1/4 cup (thawed)),432.87
Doritos Wild White Nacho Flavored Tortilla Chips (Bag),450.12
Tex Mex Corn (1/2 cup),470.68
Broccoli Florets (6 Pieces per 1/2 cup),475.99
Peach Yogurt Power Pack (Power Packs),487.84000000000003
Hot Turkey & Cheese (sandwich),491.57
Sweet Thai Chili Sauce (ounce),493.05
Apple Slices (3 slices per 1/4 cup),497.53
Nachos with Cheese Sauce (Serving),497.98
Orange Chickenless Bites (4 bites),499.21
Chicken Masala Drumstick (Drumstick),505.04
Chickpeas (2 Tablespoons),518.47
Chocolate Chip Cookie (Cookie),520.96
Steamed Broccoli (1/2 cup),530.89
Strawberry Parfait Power Pack (Power Pack),548.2
Orange (1/4 cup),558.13
Cucumber Slices (6 Slices per 1/2 cup),558.31
Chocolate Chip Cookie (1/2 Cookie),579.06
Orange Slices (3 slices per 1/4 cup),591.02
Bottled Water (Bottle),592.86
Sub Roll (Sub Roll),598.82
Banana (Each),607.08
Cooked  Brown Rice (1/2 cup cooked),608.51
Chicken Tenders (3 tenders),635.88
Cucumber Slices (2 Tablespoon),685.23
Bean and Cheese Pupusa (Pupusa),690.12
BBQ Chicken Sandwich (Sandwich),734.05
"Quesadilla, Turkey Barbacoa and Cheese (Quesadilla)",743.86
"Peppers, Green, Whole (2 Tablespoon)",796.82
"Onions, Red, Whole (2 Tablespoons (sliced))",806.27
Celery Sticks (1/2 cup),809.63
Cheese Quesadilla (Quesadilla),814.76
Potstickers (6 Potstickers),819.87
Nachos with Turkey Barbacoa and Cheese Sauce (Serving),828.64
Baked Cheese Sticks (2 Cheese Sticks),846.06
"Sauce, Spicy Mayo (tbsp)",864.86
"Cheese, Shredded, Cheddar (1/4 cup)",883.26
Cherry Tomatoes (1/4 cup),911.1
"Peppers, green, pre-sliced (1/2 cup sliced)",921.03
Baby Carrots (3 baby carrots per 1/4 cup),924.63
Corn (2 Tablespoons (thawed)),928.0
Chickpeas (1/2 cup),969.27
Beef Meatball Sub Sandwich (Sandwich),973.21
Sour Cream (2 Tablespoons),1015.6
"Peppers, red, pre-sliced (1/2 cup sliced)",1027.03
Fish Tacos (2 Tacos),1047.3600000000001
Chickenless Bites (4 Bites),1083.28
Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),1129.12
Mandarin Orange Pepper Fruit Salsa (1 TBSP),1136.18
Asian Veggie Sub (sandwich),1165.64
"Salsa, Mild Canned (1.5 oz)",1301.37
"Turkey,  Breast, Pre-Sliced, Oven Roasted (3 Slices)",1304.77
Broccoli Florets (1/4 cup),1396.3799999999999
Grilled Cheese Sandwich (Sandwich),1548.57
Turkey Pepperoni Pizza (Slice),1655.53
Chicken & Vegetable Dumplings (6 dumplings),1659.55
Chickenless Bites (2 Bites),1753.97
Cheese Pizza (Slice),1882.96
Cooked  Brown Rice (1 cup cooked),1888.43
1% White Milk (Each),1954.62
Spicy Chicken Wrap (Wrap),2103.7
Manager's Vegetable Choice (1/4 cup),2334.5
Cucumber Slices (1/4 cup),2404.92
Ranch Dressing (1 ounce),2469.25
Orange Sauce (ounce),2584.75
Asian Meatball Sub (sandwich),2605.35
Nachos with Black Beans and Cheese Sauce (Serving),2627.55
Black Beans (1/4 Cup),2825.83
Vegetable Dumpling (6 dumplings),2851.58
Fat Free White Milk (Each),2911.54
Black Beans (1/2 Cup),3158.28
Vegan Burger (Sandwich),3629.75
Alfredo & Basil Lasagna (Each),3701.81
Chana Masala (1/2 cup),4355.3
Italian Dressing (1 ounce),4411.2300000000005
Lettuce Blend Salad Mix (1/2 cup),6554.04
Black Beans - salad bar entree (1/2 cup),6608.54
Chickpeas (1/4 cup),9674.16
Soft Pretzel (1 pretzel),9832.97
Chickpeas - salad bar entree (1/2 cup),11573.55
