School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable.1,Non-Reimbursable.1,Total.1,Cost,Total.2,Percent of Offered,Cost.1,Total.3,Percent of Offered.1,Cost.2
Fairview Elementary,5/29/2025,60096,Strawberry Parfait(Parfait),2,0,2,1,1,0,1,$0.99,0,0.00%,$0.00,$0.99,0,0.00%,$0.00,$0.99,,,,
Fairview Elementary,5/29/2025,60125,Egg and American Cheese on Biscuit(Sandwich),12,0,12,8,2,1,3,$1.41,0,0.00%,$0.00,$1.41,5,62.50%,$2.35,$3.76,,,,
Fairview Elementary,5/29/2025,60162,Chicken & Biscuit Sandwich(Sandwich),0,0,0,3,3,0,3,$1.59,0,0.00%,$0.00,$1.59,0,0.00%,$0.00,$1.59,,,,
Fairview Elementary,5/30/2025,10020,Bagel(Bagel),0,0,0,20,6,2,8,$2.56,0,0.00%,$0.00,$2.56,12,60.00%,$3.84,$6.40,,,,
Fairview Elementary,5/30/2025,10041,Mini Maple Pancakes(Package),0,0,0,65,58,6,64,$24.96,0,0.00%,$0.00,$24.96,1,1.54%,$0.39,$25.35,,,,
Fairview Elementary,5/30/2025,20001,1% White Milk(Each),12,0,12,12,11,0,11,$3.96,0,0.00%,$0.00,$3.96,1,8.33%,$0.36,$4.32,,,,
Fairview Elementary,5/30/2025,20016,String Cheese(1 Stick),25,0,25,10,8,2,10,$2.20,0,0.00%,$0.00,$2.20,0,0.00%,$0.00,$2.20,,,,
Fairview Elementary,5/30/2025,20031,Banana(Each),5,0,5,10,5,0,5,$1.05,0,0.00%,$0.00,$1.05,5,50.00%,$1.05,$2.10,,,,
Fairview Elementary,5/30/2025,30004,Blueberry Chex Cereal(Each),12,0,12,6,6,0,6,$3.54,0,0.00%,$0.00,$3.54,0,0.00%,$0.00,$3.54,,,,
Fairview Elementary,5/30/2025,30006,Cinnamon Chex Cereal(Each),12,0,12,5,5,0,5,$2.95,0,0.00%,$0.00,$2.95,0,0.00%,$0.00,$2.95,,,,
Fairview Elementary,5/30/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",12,0,12,6,6,0,6,$3.54,0,0.00%,$0.00,$3.54,0,0.00%,$0.00,$3.54,,,,
Fairview Elementary,5/30/2025,30009,Orange Tangerine Juice(Each),64,0,64,133,88,30,118,$20.06,0,0.00%,$0.00,$20.06,15,11.28%,$2.55,$22.61,,,,
Fairview Elementary,5/30/2025,30051,Natural Grape Jam(Packet),0,0,0,20,8,2,10,$0.90,0,0.00%,$0.00,$0.90,10,50.00%,$0.90,$1.80,,,,
Fairview Elementary,5/30/2025,30093,Natural Breakfast Syrup(Each),0,0,0,35,24,6,30,$6.00,0,0.00%,$0.00,$6.00,5,14.29%,$1.00,$7.00,,,,
