identifier,name,unit_cost
60054,Steamed Broccoli (1/4 cups),0.07
60037,Strawberry & Banana Yogurt Power Pack (Power Packs),0.79
20032,Strawberry Banana Yogurt (each),0.35
30031,Strawberry Chex Mix (Package),0.31
30044,Strawberry Flavored Dried Cranberries (2 Eaches),0.48
30044,Strawberry Flavored Dried Cranberries (Each),0.24
60096,Strawberry Parfait (Parfait),0.97
60150,Strawberry Parfait Power Pack (Power Pack),1.56
60163,Strawberry Parfait Power Pack w/Egg (Power Pack),1.63
60169,Strawberry Smoothie (8oz portion),0.84
20016,String Cheese (1 Stick),0.22
20016,String Cheese (Each),0.12
30002,Sub Roll (Sub Roll),0.3
30071,Sweet N' Salty Popcorn (Bag),0.59
60086,Sweet Thai Chili Chicken Bites (4 Bites w/ 1oz sauce),0.98
60087,Sweet Thai Chili Chicken Wings (3 Wings),1.2
60059,Sweet Thai Chili Chickenless Bites (4 bites),0.9
10011,Sweet Thai Chili Sauce (ounce),0.14
30049,Taco Flavored Hummus (2 Each),1.01
30049,Taco Flavored Hummus (each),0.38
60156,"Taco, Turkey Barbacoa, Loco Bread (2 Tacos)",1.14
60116,"Tacos, Taco Meat, Flour Tortilla (2 Tacos)",0.91
60022,Tex Mex Corn (1/2 cup),0.48
60022,Tex Mex Corn (1/4 cup),0.24
10065,Tikka Masala Sauce (ounce),0
60144,Tomato & Basil Lasagna (Each),1.1
60123,Tomato Soup (8 oz Ladle),0.71
20072,"Tomato, Large, whole, Plum (1/4 cup sliced)",0.19
30032,Tortilla Chips (13 chips),0.16
30032,Tortilla Chips (26 chips),0.31
30173,"Tortilla Chips, Reduced Fat Tostitos, IW (Each)",0
60168,Triple Berry Parfait Power Pack (Power Pack),1.32
60177,Turkey & Cheese & Cracker Power Pack (wrap),1.13
60134,Turkey & Cheese on Biscuit (Sandwich),0.62
60147,Turkey & Cheese on Sub Roll (sandwich),1.37
10053,Turkey Barbacoa (#10 scoop),0.78
10053,Turkey Barbacoa (1/2 Cup),0.86
60148,Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),1.44
60012,Turkey Barbacoa Tacos on Flour Tortillas (2 Tacos),1.19
10054,Turkey Breast Steak (2 Slices),0.74
60041,Turkey Pepperoni Pizza (1.37 oz),0.66
60041,Turkey Pepperoni Pizza (Slice),0.68
60011,Turkey Sausage Breakfast Biscuit (Sandwich),0.44
10051,"Turkey,  Breast, Pre-Sliced, Oven Roasted (3 Slices)",0.52
10051,"Turkey,  Breast, Pre-Sliced, Oven Roasted (6 Slices)",0.98
10036,Vanilla Sugar Cookie (1/2 Cookie),0.1
10036,Vanilla Sugar Cookie (Cookie),0.27
20029,Vanilla Yogurt (1/2 cup),0.46
60006,Vegan Burger (Sandwich),0.54
60064,Vegetable Dumpling (6 dumplings),0
10049,"WG 10"" Flour Tortilla (Tortilla)",0.35
30117,WG Baked Funyuns (Each),0.28
30122,WG Chocolate Chip Rice Krispy Treats (Each),0.36
60102,"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",0.44
10061,"Waffle, Belgian, Sweet Cinnamon, WG, Bulk (Waffle)",0.44
30045,Watermelon Flavored Dried Cranberries (2 Eaches),0.48
30045,Watermelon Flavored Dried Cranberries (Each),0.24
30098,Wheat Thins (Package),0.36
10073,Whole Strawberries (1/2 cup thawed),0.34
10073,Whole Strawberries (1/4 cup thawed),0.17
30014,Whole Wheat Dinner Roll (2 rolls),0.28
30014,Whole Wheat Dinner Roll (Each),0.14
30015,Whole Wheat Sliced Bread (Slice),0.09
60138,"Wrap, Breaded Chicken (Wrap)",0.89
20021,Yellow Peach (Each),0.02
